abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fighting,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,weight_kg,generation,is_fire_type,is_water_type,is_grass_type,is_electric_type,is_ground_type,is_bug_type,is_normal_type,is_ice_type,is_flying_type,is_poison_type,is_fighting_type,is_rock_type,is_steel_type,is_fairy_type,is_dark_type,is_ghost_type,is_dragon_type,is_psychic_type,pure_type,base_egg_steps
"['Rock Head', 'Sturdy', 'Weak Armor']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,45,>=70,385,45.0,Rock Snake Pokémon,160,1M-1.25M,8.8,35,Iwarkイワーク,Onix,50,95,30,45,70,210.0,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6400
['Levitate'],2.0,2.0,1.0,0.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.5,0.5,0.5,1.0,2.0,40,>=70,300,255.0,Clay Doll Pokémon,55,1M-1.25M,0.5,40,Yajilonヤジロン,Baltoy,agender,343,40,70,55,21.5,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,5120
"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,>=70,262,255.0,Tiny Bird Pokémon,30,1M-1.25M,0.3,40,Onisuzumeオニスズメ,Spearow,50,21,31,31,70,2.0,1,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,<=3840
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5,35,>=70,250,255.0,Cottonweed Pokémon,40,1M-1.25M,0.4,35,Haneccoハネッコ,Hoppip,50,187,35,55,50,0.5,2,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,5120
"['Swift Swim', 'Sniper', 'Damp']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,40,>=70,295,225.0,Dragon Pokémon,70,1M-1.25M,0.4,30,Tattuタッツー,Horsea,50,116,70,25,60,8.0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5120
"['White Smoke', 'Drought', 'Shell Armor']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,85,>=70,470,90.0,Coal Pokémon,140,1M-1.25M,0.5,70,Cotoiseコータス,Torkoal,50,324,85,70,20,80.4,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5120
"['Pressure', 'Infiltrator']",1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0,92,>=70,485,100.0,Forbidden Pokémon,108,1M-1.25M,1.0,50,Mikarugeミカルゲ,Spiritomb,50,442,92,108,35,108.0,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,>=7680
"['Rivalry', 'Mold Breaker', 'Unnerve']",1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,87,<70,320,75.0,Tusk Pokémon,60,>=1.25M,0.6,46,Kibagoキバゴ,Axew,50,610,30,40,57,18.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,>=7680
['Hustle'],2.0,0.5,2.0,0.5,4.0,2.0,0.5,1.0,0.5,0.5,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.5,65,<70,300,45.0,Irate Pokémon,50,>=1.25M,0.8,52,Monozuモノズ,Deino,50,633,45,50,38,17.3,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,>=7680
"['Effect Spore', 'Regenerator']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,55,>=70,294,190.0,Mushroom Pokémon,45,1M-1.25M,0.2,69,Tamagetakeタマゲタケ,Foongus,50,590,55,55,15,1.0,5,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,5120
